,",ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location"
40,"24289,4825,HP665739,11/04/2008 06:14:00 PM,130XX S TORRENCE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,False,False,434,4.0,10.0,55.0,01A,1195766.0,1819224.0,2008,08/17/2015 03:03:40 PM,41.65884168,-87.559288749,""(41.65884168, -87.559288749)"""
41,"24866,4826,HP666254,11/05/2008 11:40:00 PM,070XX S PERRY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,True,False,731,7.0,6.0,69.0,01A,1176614.0,1858370.0,2008,08/17/2015 03:03:40 PM,41.766714308,-87.628197204,""(41.766714308, -87.628197204)"""
42,"25479,4827,G514099,11/04/2008 12:50:00 PM,013XX S WABASH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,False,132,1.0,2.0,33.0,01A,1176977.0,1894294.0,2008,08/17/2015 03:03:40 PM,41.865284723,-87.625782459,""(41.865284723, -87.625782459)"""
43,"26028,4828,HP669416,11/06/2008 05:13:00 PM,015XX W 63RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,False,False,725,7.0,16.0,67.0,01A,1167307.0,1862956.0,2008,08/17/2015 03:03:40 PM,41.779503192,-87.662179772,""(41.779503192, -87.662179772)"""
44,"26703,4829,HP669416,11/06/2008 05:13:00 PM,015XX W 63RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,False,False,725,7.0,16.0,67.0,01A,1167307.0,1862956.0,2008,08/17/2015 03:03:40 PM,41.779503192,-87.662179772,""(41.779503192, -87.662179772)"""
45,"27352,4830,HP668769,11/07/2008 02:35:00 PM,074XX S SOUTH CHICAGO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,False,324,3.0,5.0,69.0,01A,1185125.0,1855910.0,2008,08/17/2015 03:03:40 PM,41.759768134,-87.597078595,""(41.759768134, -87.597078595)"""
46,"28036,4831,HP670711,11/07/2008 02:46:00 PM,029XX E 88TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,423,4.0,10.0,46.0,01A,1197422.0,1847192.0,2008,08/17/2015 03:03:40 PM,41.735547653,-87.552301102,""(41.735547653, -87.552301102)"""
47,"28675,4832,HP671699,11/07/2008 09:17:00 PM,018XX S CALIFORNIA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1023,10.0,28.0,29.0,01A,1157985.0,1890877.0,2008,08/17/2015 03:03:40 PM,41.856316491,-87.695595805,""(41.856316491, -87.695595805)"""
48,"29189,4833,HP673625,11/09/2008 12:18:00 AM,024XX W ADAMS ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1125,11.0,2.0,28.0,01A,1160092.0,1898979.0,2008,08/17/2015 03:03:40 PM,41.878505963,-87.687638324,""(41.878505963, -87.687638324)"""
49,"29861,4834,HP674198,11/09/2008 11:43:00 AM,001XX S MAYFIELD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,True,False,1513,15.0,29.0,25.0,01A,1137300.0,1898807.0,2008,08/17/2015 03:03:40 PM,41.878474016,-87.771330921,""(41.878474016, -87.771330921)"""
50,"30490,4835,HP674576,11/09/2008 04:09:00 PM,004XX S PULASKI RD,0110,HOMICIDE,FIRST DEGREE MURDER,GAS STATION DRIVE/PROP.,False,False,1132,11.0,24.0,26.0,01A,1149797.0,1897617.0,2008,08/17/2015 03:03:40 PM,41.874974798,-87.725475051,""(41.874974798, -87.725475051)"""
51,"31234,4836,HP674783,11/09/2008 07:14:00 PM,025XX E 97TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,431,4.0,7.0,51.0,01A,1194527.0,1841118.0,2008,08/17/2015 03:03:40 PM,41.718951651,-87.563106159,""(41.718951651, -87.563106159)"""
52,"32023,4837,HP676307,11/10/2008 06:32:00 PM,014XX S KEDVALE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HALLWAY,False,False,1011,10.0,24.0,29.0,01A,1148953.0,1892704.0,2008,08/17/2015 03:03:40 PM,41.861509305,-87.728700952,""(41.861509305, -87.728700952)"""
53,"32811,4838,HP677914,11/11/2008 06:18:00 PM,079XX S ESSEX AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,422,4.0,7.0,46.0,01A,1194234.0,1852837.0,2008,08/17/2015 03:03:40 PM,41.7511168,-87.563795519,""(41.7511168, -87.563795519)"""
54,"33402,4839,HP678375,11/11/2008 10:25:00 PM,038XX W AUGUSTA BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1112,11.0,27.0,23.0,01A,1150429.0,1906395.0,2008,08/17/2015 03:03:40 PM,41.89905026,-87.722925332,""(41.89905026, -87.722925332)"""
55,"33950,4840,HP680297,11/14/2008 04:38:00 AM,008XX N RIDGEWAY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,False,False,1112,11.0,27.0,23.0,01A,1151234.0,1905334.0,2008,08/17/2015 03:03:40 PM,41.896123015,-87.719996432,""(41.896123015, -87.719996432)"""
56,"34700,4841,HP682113,11/14/2008 01:00:00 AM,067XX S EAST END AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,332,3.0,5.0,43.0,01A,1188695.0,1860630.0,2008,08/17/2015 03:03:40 PM,41.772635626,-87.58384403,""(41.772635626, -87.58384403)"""
57,"35345,4842,HP683635,11/14/2008 09:06:00 PM,072XX S EBERHART AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,323,3.0,6.0,69.0,01A,1180832.0,1857026.0,2008,08/17/2015 03:03:40 PM,41.762930303,-87.61277799,""(41.762930303, -87.61277799)"""
58,"35832,4843,HP683657,11/14/2008 09:30:00 PM,060XX S MAY ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,712,7.0,16.0,68.0,01A,1169683.0,1864828.0,2008,08/17/2015 03:03:40 PM,41.784588964,-87.653414812,""(41.784588964, -87.653414812)"""
59,"36498,4844,HP684923,11/15/2008 02:27:00 PM,108XX S GREEN BAY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,GARAGE,True,False,432,4.0,10.0,52.0,01A,1200536.0,1833773.0,2008,08/17/2015 03:03:40 PM,41.698646716,-87.541345118,""(41.698646716, -87.541345118)"""
60,"37092,4845,HP684209,11/15/2008 09:17:00 PM,022XX W 23RD PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1034,10.0,25.0,31.0,01A,1161706.0,1888370.0,2008,08/17/2015 03:03:40 PM,41.849360377,-87.68200759,""(41.849360377, -87.68200759)"""
61,"37630,4846,HP686096,11/16/2008 10:45:00 AM,008XX N HOMAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1121,11.0,27.0,23.0,01A,1153551.0,1905602.0,2008,08/17/2015 03:03:40 PM,41.896812665,-87.711479372,""(41.896812665, -87.711479372)"""
62,"38267,4847,HP686218,11/16/2008 12:17:00 PM,011XX W POLK ST,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,False,False,1213,12.0,25.0,28.0,01A,1169099.0,1896611.0,2008,08/17/2015 03:03:40 PM,41.871817285,-87.654635394,""(41.871817285, -87.654635394)"""
63,"38890,4848,HP686779,11/16/2008 07:41:00 PM,071XX S RIDGELAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,324,3.0,5.0,43.0,01A,1189109.0,1857825.0,2008,08/17/2015 03:03:40 PM,41.764928563,-87.582416215,""(41.764928563, -87.582416215)"""
64,"39629,4849,HP688027,11/17/2008 03:43:00 PM,040XX S WABASH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,214,2.0,3.0,38.0,01A,1177385.0,1878215.0,2008,08/17/2015 03:03:40 PM,41.821153535,-87.624771671,""(41.821153535, -87.624771671)"""
65,"40415,4850,HP691304,11/19/2008 02:20:00 PM,111XX S EMERALD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,False,False,2233,22.0,34.0,49.0,01A,1173304.0,1830909.0,2008,08/17/2015 03:03:40 PM,41.691431377,-87.641139026,""(41.691431377, -87.641139026)"""
66,"41099,4851,HP691940,11/19/2008 07:14:00 PM,038XX W ADAMS ST,0110,HOMICIDE,FIRST DEGREE MURDER,VACANT LOT,False,False,1122,11.0,28.0,26.0,01A,1150754.0,1898735.0,2008,08/17/2015 03:03:40 PM,41.878024063,-87.721932074,""(41.878024063, -87.721932074)"""
67,"41693,4852,HP684155,11/20/2008 07:37:00 PM,018XX S FAIRFIELD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1023,10.0,28.0,29.0,01A,1158316.0,1891122.0,2008,08/17/2015 03:03:40 PM,41.856982044,-87.694374168,""(41.856982044, -87.694374168)"""
68,"42299,4853,HP693847,11/20/2008 07:41:00 PM,052XX S KEDZIE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,False,False,822,8.0,14.0,63.0,01A,1155935.0,1869704.0,2008,08/17/2015 03:03:40 PM,41.798256669,-87.703689977,""(41.798256669, -87.703689977)"""
69,"42888,4854,HP695486,11/21/2008 08:37:00 PM,030XX W WELLINGTON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1411,14.0,35.0,21.0,01A,1155369.0,1919787.0,2008,08/17/2015 03:03:40 PM,41.935701129,-87.704420069,""(41.935701129, -87.704420069)"""
70,"43406,4855,HP697087,11/22/2008 06:20:00 PM,078XX S ADA ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,612,6.0,17.0,71.0,01A,1168801.0,1852810.0,2008,08/17/2015 03:03:40 PM,41.75162913,-87.656995068,""(41.75162913, -87.656995068)"""
71,"44024,4856,HP697568,11/23/2008 02:40:00 AM,001XX N KARLOV AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,False,1114,11.0,28.0,26.0,01A,1149044.0,1900346.0,2008,08/17/2015 03:03:40 PM,41.882478083,-87.72816913,""(41.882478083, -87.72816913)"""
72,"44558,4857,HP703211,11/26/2008 12:29:00 PM,017XX N KARLOV AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,2534,25.0,30.0,23.0,01A,1148779.0,1911289.0,2008,08/17/2015 03:03:40 PM,41.912511943,-87.728859108,""(41.912511943, -87.728859108)"""
73,"45108,4858,HP704333,11/26/2008 11:13:00 PM,019XX E 87TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,BARBER SHOP/BEAUTY SALON,True,False,412,4.0,8.0,45.0,01A,1190493.0,1847670.0,2008,08/17/2015 03:03:40 PM,41.737029077,-87.577670444,""(41.737029077, -87.577670444)"""
